Pos,StartNr,Naam,Team,Swim,PltsZw,Wiss1,Fiets,PltsFie,NaFiets,Wiss2,Run,PltsRun,Totaal,Divisie
1,125,Marijn de Jonge,Rogelli / TriMates 2 - Utrecht,00:10:28,5,00:01:17,00:27:45,7,00:39:29,00:00:48,00:18:10,1,00:58:26,2e divisie
2,121,Ricardo Scholten,Trivana - Weesp,00:11:31,23,00:01:12,00:26:43,1,00:39:26,00:00:50,00:18:24,2,00:58:39,2e divisie
3,128,Martijn Keijsers,Rogelli / TriMates 2 - Utrecht,00:11:01,12,00:01:11,00:27:22,6,00:39:32,00:00:49,00:18:38,4,00:58:58,2e divisie
4,184,Martijn Boot,TTW 2 - Weesp,00:10:38,7,00:01:07,00:27:49,8,00:39:34,00:00:55,00:18:42,5,00:59:10,2e divisie
5,189,Anton Theo Borger,Kijani 2 - Beesd,00:11:14,16,00:00:58,00:27:14,5,00:39:26,00:00:44,00:19:11,12,00:59:20,2e divisie
6,183,Kelvin van der Doe,TTW 2 - Weesp,00:11:29,21,00:01:02,00:27:03,4,00:39:34,00:00:56,00:19:13,13,00:59:41,2e divisie
7,191,Peter van Liempt,Kijani 2 - Beesd,00:10:13,3,00:01:06,00:28:09,13,00:39:27,00:00:50,00:19:36,18,00:59:52,2e divisie
8,181,Daniel Nagel,TTW 2 - Weesp,00:11:28,20,00:01:04,00:27:02,3,00:39:33,00:00:55,00:19:29,15,00:59:56,2e divisie
9,112,Arie Nimberg,Hellas 3 - Utrecht,00:11:29,22,00:01:07,00:26:57,2,00:39:32,00:00:51,00:20:14,30,01:00:36,2e divisie
10,175,Tim Vreeburg,IZGS - Haarlem,00:10:43,11,00:01:10,00:29:18,43,00:41:10,00:00:48,00:18:46,7,01:00:43,2e divisie
11,133,Izak Hanse,DSTV Aloha - Enschede,00:10:40,8,00:01:15,00:29:18,42,00:41:12,00:01:05,00:18:44,6,01:01:00,2e divisie
12,173,Melvin Welsink,IZGS - Haarlem,00:11:45,33,00:01:08,00:28:21,15,00:41:13,00:00:51,00:19:04,11,01:01:07,2e divisie
13,111,Lex Bruggink,Hellas 3 - Utrecht,00:11:42,32,00:01:29,00:28:44,26,00:41:54,00:00:57,00:18:29,3,01:01:19,2e divisie
14,190,Geert Lantink,Kijani 2 - Beesd,00:09:36,1,00:01:16,00:28:37,22,00:39:28,00:00:51,00:21:01,41,01:01:19,2e divisie
15,110,Jurgen Langenhorst,Hellas 3 - Utrecht,00:11:10,14,00:01:12,00:28:48,29,00:41:09,00:00:53,00:19:23,14,01:01:24,2e divisie
16,137,Casper van Dam,Team Fysio-Luxor / TV Zeewolde,00:11:39,31,00:00:56,00:28:36,21,00:41:11,00:01:01,00:19:33,16,01:01:44,2e divisie
17,153,Leon van Hamersveld,AV Nijkerk,00:10:40,9,00:01:08,00:29:25,47,00:41:12,00:00:50,00:19:49,22,01:01:50,2e divisie
18,101,Harm-Jan Stuut,Triteam Groningen 2,00:11:55,45,00:01:14,00:28:02,9,00:41:10,00:00:51,00:20:00,25,01:02:00,2e divisie
19,192,Henry Piek,Kijani 2 - Beesd,00:11:14,15,00:01:02,00:28:57,35,00:41:11,00:01:03,00:19:49,21,01:02:02,2e divisie
20,180,Ward van der Boorn,ASU 11 - Amsterdam,00:12:02,52,00:01:53,00:28:08,12,00:42:02,00:01:05,00:18:56,9,01:02:03,2e divisie
21,176,albert Kremer,IZGS - Haarlem,00:11:33,24,00:01:09,00:28:34,19,00:41:15,00:00:54,00:20:10,27,01:02:18,2e divisie
22,177,Eduardo Centeno Nieves,ASU 11 - Amsterdam,00:10:23,4,00:01:19,00:29:34,51,00:41:16,00:00:58,00:20:13,29,01:02:26,2e divisie
23,174,Rutger Stottelaar,IZGS - Haarlem,00:10:10,2,00:01:11,00:29:02,36,00:40:22,00:00:52,00:21:25,47,01:02:38,2e divisie
24,103,Mathijs van Ark,Triteam Groningen 2,00:11:51,40,00:01:16,00:28:05,11,00:41:11,00:00:53,00:20:40,36,01:02:43,2e divisie
25,109,Luuk Vermunt,Hellas 3 - Utrecht,00:12:40,71,00:01:23,00:28:51,31,00:42:54,00:01:02,00:18:55,8,01:02:49,2e divisie
26,127,Cornelis Scheltinga,Rogelli / TriMates 2 - Utrecht,00:11:34,26,00:01:00,00:28:44,27,00:41:17,00:01:00,00:20:46,37,01:03:02,2e divisie
27,123,Bart Elderenbosch,Trivana - Weesp,00:11:50,37,00:01:24,00:28:37,23,00:41:50,00:01:00,00:20:15,31,01:03:04,2e divisie
28,182,Jorrit Vulker,TTW 2 - Weesp,00:12:00,51,00:01:21,00:28:34,20,00:41:55,00:01:15,00:19:59,24,01:03:08,2e divisie
