"X...Pos","StartNr","Cat","Naam","Zwem","Wis1","F1","F2","F3","Fiets","NaFiets","Wis2","L1a","L1b","L2a","L2b","Loop","Total","Divisie","Team"
1,3,"MERE","Neal van Vaerenbergh","00:09:44","00:00:55","00:09:39","00:09:00","00:10:12","00:28:50","00:39:28","00:01:03","00:02:11","00:05:57","00:02:14","00:05:39","00:15:59","00:56:28","ere divisie","Squadra - Eindhoven"
2,4,"MERE","Lucas van Deynze","00:10:00","00:00:54","00:09:56","00:08:57","00:10:17","00:29:09","00:40:02","00:01:05","00:02:13","00:06:01","00:02:13","00:05:42","00:16:09","00:57:14","ere divisie","Unknown"
3,61,"MERE","Nick Thijs","00:09:51","00:00:55","00:09:32","00:09:01","00:10:12","00:28:44","00:39:29","00:01:12","00:02:14","00:06:09","00:02:27","00:05:55","00:16:44","00:57:24","ere divisie","Unknown"
4,17,"MERE","Joey van 't Verlaat","00:10:20","00:00:52","00:09:38","00:08:57","00:10:15","00:28:49","00:40:00","00:01:08","00:02:12","00:06:12","00:02:25","00:05:54","00:16:41","00:57:48","ere divisie","Rogelli / TriMates - Utrecht"
5,14,"MERE","Tom Havekes","00:09:33","00:01:03","00:09:42","00:09:01","00:10:14","00:28:56","00:39:31","00:01:12","00:02:19","00:06:22","00:02:25","00:06:04","00:17:08","00:57:50","ere divisie","VISMA / TriCan - Arnhem"
6,11,"MERE","Thomas Cremers","00:10:21","00:00:55","00:09:45","00:08:48","00:10:17","00:28:48","00:40:03","00:01:12","00:02:14","00:06:18","00:02:22","00:05:45","00:16:38","00:57:52","ere divisie","VISMA / TriCan - Arnhem"
7,62,"MERE","Wesley Mols","00:10:51","00:01:06","00:09:44","00:09:08","00:10:24","00:29:15","00:41:11","00:01:13","00:02:06","00:05:49","00:02:10","00:05:27","00:15:31","00:57:54","ere divisie","Cerberus - Nijmegen"
8,40,"MERE","Ynze Keulstra","00:09:50","00:00:57","00:09:30","00:09:02","00:10:12","00:28:44","00:39:30","00:01:11","00:02:22","00:06:29","00:02:26","00:06:01","00:17:17","00:57:57","ere divisie","Kijani - Beesd"
9,19,"MERE","Victor Goené","00:10:06","00:00:57","00:09:47","00:08:58","00:10:15","00:28:59","00:40:01","00:01:07","00:02:13","00:06:12","00:02:25","00:06:03","00:16:52","00:57:58","ere divisie","Rogelli / TriMates - Utrecht"
10,5,"MERE","Finn Timmermans","00:09:47","00:00:53","00:09:39","00:09:01","00:10:11","00:28:50","00:39:29","00:01:06","00:02:20","00:06:29","00:02:28","00:06:11","00:17:27","00:58:01","ere divisie","Squadra - Eindhoven"
11,28,"MERE","Jan-Roelf Heerssema","00:09:50","00:00:59","00:10:01","00:08:59","00:10:16","00:29:15","00:40:03","00:01:13","00:02:28","00:06:21","00:02:17","00:05:52","00:16:57","00:58:11","ere divisie","TC Twente - Enschede"
12,26,"MERE","Morten Schmidt","00:09:26","00:00:56","00:09:56","00:09:02","00:10:13","00:29:10","00:39:31","00:01:10","00:02:22","00:06:30","00:02:30","00:06:12","00:17:32","00:58:12","ere divisie","TC Twente - Enschede"
13,39,"MERE","Stefan van Thiel","00:10:28","00:00:50","00:09:42","00:08:47","00:10:14","00:28:43","00:40:00","00:01:06","00:02:16","00:06:41","00:02:26","00:05:52","00:17:13","00:58:18","ere divisie","Kijani - Beesd"
14,18,"MERE","Koen de Leeuw","00:10:02","00:00:54","00:09:54","00:08:58","00:10:15","00:29:06","00:40:00","00:01:15","00:02:18","00:06:23","00:02:27","00:06:00","00:17:07","00:58:22","ere divisie","Rogelli / TriMates - Utrecht"
15,42,"MERE","Martijn Paalman","00:10:13","00:00:59","00:09:38","00:08:57","00:10:21","00:28:55","00:40:07","00:01:14","00:02:21","00:06:24","00:02:25","00:06:00","00:17:08","00:58:27","ere divisie","Rosiir - Tjellens / TTvW Hof van Twente - Goor"
16,54,"MERE","Ian Pennekamp","00:10:05","00:00:55","00:09:49","00:08:58","00:10:18","00:29:05","00:40:04","00:01:08","00:02:22","00:06:26","00:02:24","00:06:10","00:17:20","00:58:30","ere divisie","ZSC Oceanus - Aalsmeer"
17,16,"MERE","Gerbert van den Biggelaar","00:10:00","00:00:51","00:09:59","00:08:58","00:10:20","00:29:16","00:40:06","00:01:11","00:02:20","00:06:26","00:02:24","00:06:08","00:17:17","00:58:33","ere divisie","Unknown"
18,64,"MERE","Ruben Slot","00:10:10","00:00:56","00:09:44","00:08:57","00:10:19","00:29:00","00:40:05","00:01:09","00:02:20","00:06:27","00:02:27","00:06:12","00:17:24","00:58:37","ere divisie","Cerberus - Nijmegen"
19,56,"MERE","Wouter Dijkshoorn","00:10:41","00:00:53","00:10:06","00:09:07","00:10:19","00:29:31","00:41:04","00:01:05","00:02:15","00:06:08","00:02:19","00:05:54","00:16:36","00:58:44","ere divisie","De Dolfijn - Amsterdam"
20,38,"MERE","Jeffrey Reijnders","00:09:51","00:00:54","00:09:34","00:09:01","00:10:13","00:28:46","00:39:31","00:01:08","00:02:24","00:06:47","00:02:35","00:06:28","00:18:13","00:58:51","ere divisie","Kijani - Beesd"
21,2,"MERE","Devi Wolthuizen","00:09:43","00:00:58","00:09:56","00:09:10","00:10:16","00:29:22","00:40:01","00:01:14","00:02:23","00:06:39","00:02:29","00:06:09","00:17:38","00:58:53","ere divisie","Unknown"
22,34,"MERE","Tristan Olij","00:10:12","00:00:55","00:09:43","00:08:57","00:10:18","00:28:56","00:40:02","00:01:10","00:02:23","00:06:32","00:02:32","00:06:17","00:17:42","00:58:54","ere divisie","TTW - Weesp"
23,69,"MERE","Mark Muller","00:10:32","00:01:00","00:10:00","00:09:15","00:10:25","00:29:39","00:41:10","00:01:11","00:02:10","00:06:10","00:02:21","00:06:00","00:16:40","00:58:59","ere divisie","Fitness Occasions / Step One - Borne"
24,49,"MERE","Simon den Braber","00:10:08","00:00:57","00:09:56","00:08:45","00:10:17","00:28:57","00:40:01","00:01:08","00:02:22","00:06:37","00:02:35","00:06:31","00:18:03","00:59:12","ere divisie","Hellas - Utrecht"
25,33,"MERE","Tim den Braber","00:10:15","00:00:52","00:09:43","00:08:57","00:10:16","00:28:55","00:40:00","00:01:09","00:02:25","00:06:46","00:02:35","00:06:22","00:18:06","00:59:15","ere divisie","TTW - Weesp"
26,12,"MERE","Stefan Timmermans","00:09:44","00:00:59","00:09:38","00:08:59","00:10:15","00:28:51","00:39:32","00:01:14","00:02:32","00:06:56","00:02:39","00:06:24","00:18:30","00:59:15","ere divisie","VISMA / TriCan - Arnhem"
27,71,"MERE","Sander de Bart","00:10:52","00:01:03","00:09:46","00:09:06","00:10:28","00:29:19","00:41:13","00:01:11","00:02:15","00:06:18","00:02:22","00:06:00","00:16:54","00:59:18","ere divisie","TV Breda"
