Pos,StartNr,Cat,Naam,Team,Swim,#Sw,Chg1,AftChg1,Bike,#Bk,AftBk,#AftBk,Chg2,AftChg2,Run,#Run,Total,Divisie
1,601,1DM,Rutger Duursma,Triteam Groningen,00:09:48,11,00:00:38,00:10:25,00:36:12,2,00:46:37,1,00:00:33,00:47:09,00:20:15,3,01:07:24,1e divisie
2,643,1DM,Sven Strijk,TTB – Bodegraven,00:09:47,9,00:00:44,00:10:31,00:36:09,1,00:46:39,3,00:00:45,00:47:23,00:20:37,11,01:08:00,1e divisie
3,633,1DM,Vincent Böhm,Innovative Group / VZC – Veenendaal,00:09:38,7,00:00:43,00:10:21,00:37:36,38,00:47:56,5,00:00:46,00:48:42,00:20:14,2,01:08:55,1e divisie
4,631,1DM,René Jaasma,AV Impala – Drachten,00:10:41,24,00:00:45,00:11:26,00:36:51,8,00:48:16,12,00:00:38,00:48:53,00:20:20,4,01:09:13,1e divisie
5,609,1DM,Aaron Lynch,Hellas 2 – Utrecht,00:10:42,25,00:00:44,00:11:25,00:36:53,9,00:48:17,17,00:00:35,00:48:52,00:20:28,7,01:09:19,1e divisie
6,616,1DM,Mark Oude Bennink,TC Twente 2 – Enschede,00:09:35,5,00:00:45,00:10:19,00:37:55,49,00:48:14,8,00:00:43,00:48:57,00:20:34,10,01:09:31,1e divisie
7,602,1DM,Niels Grote Beverborg,Triteam Groningen,00:10:37,21,00:00:41,00:11:18,00:36:57,13,00:48:15,10,00:00:37,00:48:51,00:21:01,12,01:09:51,1e divisie
8,669,1DM,Marijn Geurken,Triathlon Soest,00:10:35,18,00:00:46,00:11:21,00:37:01,14,00:48:21,22,00:00:41,00:49:02,00:21:02,13,01:10:04,1e divisie
9,622,1DM,Edo van der Meer,EDO Sports 2 – Maastricht,00:09:34,4,00:00:45,00:10:19,00:37:34,34,00:47:52,4,00:00:43,00:48:35,00:21:42,17,01:10:16,1e divisie
10,624,1DM,Jisk Hoogervoorst,EDO Sports 2 – Maastricht,00:11:24,46,00:00:47,00:12:11,00:37:05,18,00:49:15,28,00:00:43,00:49:58,00:20:22,5,01:10:20,1e divisie
