Plts,StartNr,Naam,Team,Zwem1,#Zw1,Wis1,Fiets1,#Fie1,Wis2,Loop1,#Loop1,ZFL1,#ZFL1,Zwem2,#Zw2,Wis3,Fiets2,#Fie2,Wis4,Loop2,#Loop2,ZFL2,#ZFL2,Totaal,Divisie
1,1,Rutger Duursma,Triteam Groningen,00:03:19,3,00:02:13,00:10:48,28,00:01:27,00:07:30,3,00:25:15,1,00:04:22,8,00:02:12,00:10:54,28,00:01:16,00:06:45,1,00:25:26,1,00:50:40,1e divisie
2,49,Gjalt Panjer,Sanders Puzzelboeken / Aquapoldro - Apeldoorn,00:03:22,6,00:02:06,00:10:53,38,00:01:21,00:07:38,7,00:25:17,2,00:04:17,5,00:02:13,00:10:54,30,00:01:18,00:06:46,2,00:25:27,2,00:50:43,1e divisie
3,28,Joran Driesen,Ferro Mosae - Maastricht,00:03:21,5,00:02:23,00:11:01,48,00:01:23,00:07:50,16,00:25:55,11,00:04:23,9,00:02:09,00:10:51,23,00:01:19,00:06:47,3,00:25:28,3,00:51:22,1e divisie
4,8,Tjardo Visser,TVA - Almere,00:03:36,15,00:01:59,00:10:44,17,00:01:35,00:08:11,33,00:26:03,17,00:04:13,2,00:02:07,00:10:54,29,00:01:20,00:06:59,4,00:25:31,4,00:51:34,1e divisie
5,2,Niels Grote Beverborg,Triteam Groningen,00:03:40,21,00:02:22,00:10:47,27,00:01:18,00:07:32,4,00:25:37,3,00:04:40,16,00:02:11,00:10:52,24,00:01:18,00:07:03,6,00:26:02,6,00:51:38,1e divisie
6,60,Jesse Cuijpers,TV Weert,00:03:22,7,00:02:16,00:11:10,58,00:01:25,00:07:38,6,00:25:50,8,00:04:30,12,00:02:07,00:10:53,26,00:01:22,00:07:05,8,00:25:55,5,00:51:45,1e divisie
7,10,Aaron Lynch,Hellas 2 - Utrecht,00:03:36,19,00:02:17,00:10:56,43,00:01:16,00:07:41,8,00:25:45,6,00:04:38,14,00:02:07,00:11:05,41,00:01:15,00:07:01,5,00:26:04,8,00:51:48,1e divisie
8,33,Vincent Böhm,Innovative Group / VZC - Veenendaal,00:03:39,20,00:02:05,00:11:06,55,00:01:26,00:07:27,1,00:25:41,4,00:04:21,7,00:02:23,00:10:58,34,00:01:26,00:07:19,14,00:26:25,13,00:52:05,1e divisie
9,65,Jeroen Velders,Metaglas / TZC Vahalis - Tiel,00:03:17,2,00:02:26,00:11:06,53,00:01:23,00:07:43,10,00:25:53,9,00:04:26,10,00:02:25,00:10:53,25,00:01:23,00:07:12,11,00:26:18,10,00:52:10,1e divisie
10,69,Marijn Geurken,Triathlon Soest,00:03:55,41,00:02:06,00:10:45,20,00:01:29,00:07:43,11,00:25:56,12,00:04:37,13,00:02:16,00:10:51,21,00:01:32,00:07:04,7,00:26:18,11,00:52:13,1e divisie
11,3,Erik Schroder,Triteam Groningen,00:03:15,1,00:02:20,00:10:46,24,00:01:42,00:08:11,34,00:26:13,19,00:03:51,1,00:02:20,00:10:54,27,00:01:25,00:07:35,29,00:26:03,7,00:52:16,1e divisie
12,6,Bas de Waal,TVA - Almere,00:03:27,10,00:02:11,00:11:10,57,00:01:25,00:08:04,25,00:26:15,20,00:04:13,3,00:02:21,00:10:46,18,00:01:22,00:07:28,20,00:26:09,9,00:52:24,1e divisie
13,15,Remko Siers,TC Twente 2 - Enschede,00:03:26,9,00:02:26,00:10:55,42,00:01:28,00:07:48,14,00:26:01,14,00:04:27,11,00:02:21,00:10:48,20,00:01:26,00:07:27,19,00:26:28,14,00:52:29,1e divisie
14,30,René Jaasma,AV Impala - Drachten,00:03:35,14,00:02:19,00:10:49,31,00:01:22,00:07:42,9,00:25:44,5,00:04:42,18,00:02:10,00:10:57,32,00:01:25,00:07:35,26,00:26:47,18,00:52:31,1e divisie
15,34,Erik Wolsing,Innovative Group / VZC - Veenendaal,00:03:36,17,00:02:04,00:11:05,52,00:01:32,00:07:47,13,00:26:02,16,00:04:18,6,00:02:15,00:11:02,37,00:01:35,00:07:25,18,00:26:32,15,00:52:34,1e divisie
16,47,Sander Hoogeveen,De Boks - Klazienaveen,00:03:20,4,00:02:24,00:11:01,50,00:01:28,00:08:04,27,00:26:16,21,00:04:14,4,00:02:16,00:10:46,17,00:01:29,00:07:40,32,00:26:23,12,00:52:38,1e divisie
17,5,Joost Friderichs,TVA - Almere,00:03:41,23,00:02:21,00:10:42,13,00:01:30,00:08:04,23,00:26:17,22,00:04:39,15,00:02:17,00:10:58,33,00:01:30,00:07:17,13,00:26:39,16,00:52:55,1e divisie
18,12,Daan de Groot,Hellas 2 - Utrecht,,,,,,,,,,,,,,,,,,,,,00:53:00,1e divisie
19,4,Jacob Veenstra,Triteam Groningen,00:03:42,24,00:02:37,00:10:41,10,00:01:30,00:07:58,20,00:26:26,26,00:04:44,20,00:02:20,00:10:46,16,00:01:24,00:07:30,21,00:26:41,17,00:53:07,1e divisie
20,14,Guido Gosselink,TC Twente 2 - Enschede,00:03:36,16,00:02:32,00:10:52,37,00:01:18,00:07:46,12,00:26:02,15,00:04:51,22,00:02:34,00:10:47,19,00:01:22,00:07:41,33,00:27:12,22,00:53:14,1e divisie
21,58,Juul van de Kruijs,TV Weert,00:03:53,39,00:02:19,00:10:42,14,00:01:26,00:07:28,2,00:25:46,7,00:05:30,56,00:02:08,00:10:45,13,00:01:48,00:07:25,17,00:27:34,31,00:53:20,1e divisie
22,54,Scott Henzetpeter,Argo - Wierden,00:03:32,12,00:02:20,00:10:51,35,00:01:23,00:07:49,15,00:25:53,10,00:04:46,21,00:02:17,00:11:15,47,00:01:29,00:07:50,40,00:27:35,32,00:53:27,1e divisie
23,44,Paul Schermers,TTB - Bodegraven,00:03:45,28,00:02:38,00:10:39,5,00:01:27,00:07:56,19,00:26:23,24,00:04:51,23,00:02:35,00:10:56,31,00:01:22,00:07:25,16,00:27:08,20,00:53:31,1e divisie
24,57,Remco de Veen,TV Weert,00:03:24,8,00:02:17,00:11:06,56,00:01:18,00:07:54,17,00:25:58,13,00:04:43,19,00:02:31,00:11:01,36,00:01:30,00:08:02,48,00:27:44,36,00:53:42,1e divisie
25,64,Matthijs Künzel,Triade - Zwolle,00:04:04,55,00:02:34,00:10:43,16,00:01:21,00:07:32,5,00:26:12,18,00:05:01,32,00:02:24,00:11:24,53,00:01:17,00:07:31,24,00:27:36,34,00:53:48,1e divisie
26,55,Finn Hentzepeter,Argo - Wierden,00:03:45,27,00:02:29,00:10:41,11,00:01:28,00:08:04,24,00:26:24,25,00:05:00,31,00:02:15,00:11:03,38,00:01:21,00:07:51,42,00:27:28,28,00:53:51,1e divisie
27,11,Peter Res,Hellas 2 - Utrecht,00:04:14,65,00:02:32,00:10:31,1,00:01:31,00:08:14,36,00:26:59,37,00:05:29,55,00:02:37,00:10:29,2,00:01:18,00:07:08,9,00:26:59,19,00:53:57,1e divisie
28,68,Tom de Visser,Metaglas / TZC Vahalis - Tiel,00:03:59,47,00:02:39,00:10:40,7,00:01:25,00:08:07,32,00:26:48,35,00:05:02,33,00:02:31,00:10:40,7,00:01:28,00:07:33,25,00:27:11,21,00:53:59,1e divisie
29,40,Peter-Jan Mol,Cerberus 2 - Nijmegen,00:04:01,51,00:02:22,00:10:59,46,00:01:26,00:08:01,21,00:26:47,34,00:05:17,46,00:02:19,00:10:38,5,00:01:29,00:07:35,27,00:27:16,23,00:54:02,1e divisie
30,9,Jeroen Gijzen,Hellas 2 - Utrecht,00:04:08,59,00:02:36,00:10:33,2,00:01:22,00:08:05,30,00:26:42,29,00:05:49,62,00:02:30,00:10:33,4,00:01:18,00:07:15,12,00:27:24,26,00:54:05,1e divisie
