Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
1,1,Marco van der Stel,Squadra - Eindhoven,02:25,49.2,07:05,40.5,05:27,16:26,05:33,41.2,07:10,33.5,02:27,16:23,08:04,32.6,02:25,01:07,05:22,17:29,01:10:22,ere divisie
2,19,Pim Venderbosch,Rogelli / TriMates - Utrecht,02:34,56.6,06:52,40.1,05:24,16:26,05:32,44.3,07:09,36.4,02:30,16:32,07:56,37.6,02:31,01:08,05:27,17:38,01:10:40,ere divisie
3,61,Wesley Mols,Cerberus - Nijmegen,02:51,57.3,07:02,46.9,05:12,16:48,05:10,41.4,07:15,41.2,02:32,16:19,07:50,36.7,02:43,01:15,05:15,17:39,01:10:50,ere divisie
4,14,Donald Hillebregt,VISMA / TriCan - Arnhem,02:38,47.7,06:52,41.1,05:28,16:26,05:34,45.3,07:09,36.4,02:31,16:34,07:52,38.6,02:42,01:11,05:33,17:56,01:11:00,ere divisie
5,24,Mohamed Masoo,EDO Sports - Maastricht,02:28,44.6,07:11,38.5,05:31,16:32,05:29,42.1,07:10,37.1,02:25,16:22,08:02,34.7,02:29,01:11,05:56,18:12,01:11:08,ere divisie
6,27,Jan-Roelf Heerssema,TC Twente - Enschede,02:43,48.5,06:50,44.3,05:22,16:26,05:34,46.5,07:07,40.9,02:31,16:38,07:50,38.2,02:39,01:17,05:38,18:01,01:11:10,ere divisie
7,28,Stijn Jansen,TC Twente - Enschede,02:43,49.7,07:03,54.1,05:18,16:47,05:13,46.9,07:06,35.2,02:34,16:14,07:53,36.1,02:37,01:18,05:46,18:08,01:11:14,ere divisie
8,36,Stefan van Thiel,Kijani - Beesd,02:49,50.1,06:55,47.7,05:22,16:43,05:33,45.1,07:10,37,02:42,16:46,07:52,34.3,02:49,01:08,05:26,17:47,01:11:18,ere divisie
9,5,Neal van Vaerenbergh,Squadra - Eindhoven,02:36,50.6,06:54,37.3,05:47,16:44,05:31,42.3,07:14,35.2,02:36,16:37,07:59,32,02:34,01:14,05:41,17:59,01:11:23,ere divisie
10,16,Joey van 't Verlaat,Rogelli / TriMates - Utrecht,02:47,53.4,06:56,43.1,05:32,16:51,05:27,48.1,07:10,38.1,02:40,16:42,07:49,34.7,02:49,01:07,05:33,17:51,01:11:27,ere divisie
11,15,Thomas Cremers,VISMA / TriCan - Arnhem,02:44,49.4,07:02,01:02,05:27,17:03,05:14,45.9,07:11,41.4,02:36,16:26,07:51,35.5,02:33,01:14,05:53,18:06,01:11:39,ere divisie
12,64,Lukas Engelbert,Cerberus - Nijmegen,02:50,54.5,06:56,45.7,05:27,16:53,05:21,43.7,07:15,38.5,02:42,16:39,07:50,35.2,03:00,01:15,05:34,18:12,01:11:48,ere divisie
13,20,Koen de Leeuw,Rogelli / TriMates - Utrecht,02:26,57,07:02,45.2,05:58,17:07,05:40,46.3,07:17,35.4,02:30,16:48,07:43,33.8,02:35,01:17,05:43,17:50,01:11:50,ere divisie
14,32,Daan Jacobs,TTW - Weesp,02:52,50,06:57,43.8,05:35,16:57,05:30,41.8,07:04,38.6,02:49,16:43,07:56,36.9,02:52,01:12,05:34,18:10,01:11:56,ere divisie
15,37,Jardy van den Heuvel,Kijani - Beesd,02:37,45.9,06:58,36.7,05:48,16:45,05:34,46.5,07:24,34.3,02:31,16:48,08:07,34.7,02:28,01:12,06:01,18:22,01:11:59,ere divisie
16,44,Joost Somsen,Rosiir - Tjellens / TTvW Hof van Twente - Goor,02:54,52.4,06:49,41.5,05:38,16:54,05:36,44.8,06:58,38.2,02:52,16:48,07:53,36.1,02:48,01:17,05:46,18:18,01:12:04,ere divisie
17,3,Malcolm King,Squadra - Eindhoven,02:37,45.6,07:00,41.8,05:57,17:00,05:58,48.4,07:03,36.3,02:24,16:48,07:53,36.6,02:35,01:14,06:00,18:16,01:12:08,ere divisie
18,40,Jeffrey Reijnders,Kijani - Beesd,02:22,51.9,07:06,41.4,06:00,17:00,05:50,47.2,07:12,36.7,02:28,16:54,07:52,37.1,02:31,01:13,06:11,18:22,01:12:14,ere divisie
19,56,Wouter Dijkshoorn,De Dolfijn - Amsterdam,02:32,51.9,06:58,38.9,06:02,17:02,05:45,50,07:14,36.6,02:35,16:59,08:01,35,02:42,01:12,05:46,18:15,01:12:20,ere divisie
20,17,Victor Goené,Rogelli / TriMates - Utrecht,02:42,01:01,06:52,50,05:37,17:01,05:31,46.8,07:32,37.4,02:34,17:00,08:01,38,02:40,01:14,05:46,18:18,01:12:23,ere divisie
21,29,Felix Reifenberg,TC Twente - Enschede,02:39,43.2,07:00,40.4,05:48,16:51,05:42,57.3,07:22,38.1,02:40,17:19,07:58,33.6,02:51,01:10,05:41,18:13,01:12:26,ere divisie
