Pos,StartNr,Naam,Team,Zwem,#Zw,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop,#L,Totaal,Divisie
1,126,Merijn Ellenkamp,Rogelli / TriMates 2 - Utrecht,00:10:00,4,00:00:58,00:33:48,5,00:44:46,3,00:00:49,00:18:02,5,01:03:36,2e divisie
2,111,Daan de Groot,Hellas 3 - Utrecht,00:13:34,64,00:00:50,00:31:26,1,00:45:49,7,00:01:02,00:17:03,1,01:03:53,2e divisie
3,190,Bart Cooymans,Kijani 2 - Beesd,00:09:50,1,00:00:53,00:33:59,8,00:44:42,1,00:00:59,00:18:24,10,01:04:04,2e divisie
4,103,Bram Smit,Triteam Groningen 2,00:12:05,31,00:01:05,00:32:09,2,00:45:18,5,00:00:54,00:18:04,6,01:04:16,2e divisie
5,189,Jeroen Leuverink,Kijani 2 - Beesd,00:10:00,3,00:00:58,00:33:47,4,00:44:45,2,00:00:56,00:19:03,21,01:04:43,2e divisie
6,174,Tim Vreeburg,IZGS - Haarlem,00:11:33,11,00:00:55,,,,,,,,01:05:11,2e divisie
7,127,Marijn de Jonge,Rogelli / TriMates 2 - Utrecht,00:10:22,6,00:00:51,00:34:28,13,00:45:40,6,00:00:58,00:18:42,15,01:05:20,2e divisie
8,125,Martijn Keijsers,Rogelli / TriMates 2 - Utrecht,00:11:44,17,00:00:48,00:34:39,15,00:47:11,9,00:00:45,00:17:25,4,01:05:20,2e divisie
9,191,Geert Lantink,Kijani 2 - Beesd,00:09:55,2,00:00:54,00:33:59,7,00:44:47,4,00:00:54,00:19:51,40,01:05:31,2e divisie
10,176,Rutger Stottelaar,IZGS - Haarlem,00:10:20,5,00:00:50,,,,,,,,01:05:46,2e divisie
11,133,Izak Hanse,DSTV Aloha - Enschede,00:11:40,13,00:00:56,00:34:23,9,00:46:58,8,00:00:55,00:18:06,7,01:05:58,2e divisie
12,178,Ward van der Boorn,ASU '11 - Amsterdam,00:13:03,54,00:01:06,00:33:38,3,00:47:45,11,00:01:00,00:17:24,3,01:06:09,2e divisie
13,110,Lex Bruggink,Hellas 3 - Utrecht,00:12:45,49,00:01:00,00:34:33,14,00:48:18,19,00:00:44,00:17:23,2,01:06:24,2e divisie
14,137,Casper van Dam,Team Fysio-Luxor / TV Zeewolde,00:12:01,30,00:00:49,00:34:28,12,00:47:17,10,00:00:59,00:18:25,11,01:06:40,2e divisie
15,175,Melvin Welsink,IZGS - Haarlem,00:12:42,45,00:00:59,,,,,,,,01:06:49,2e divisie
16,112,Luuk Vermunt,Hellas 3 - Utrecht,00:12:16,33,00:00:54,,,,,,,,01:07:08,2e divisie
17,101,Bart Smink,Triteam Groningen 2,00:11:41,15,00:00:54,00:35:20,23,00:47:54,12,00:00:49,00:18:26,12,01:07:08,2e divisie
18,122,Gijs Bergman,Trivana - Weesp,00:11:47,20,00:00:58,,,,,,,,01:07:34,2e divisie
19,104,Peter van der Maas,Triteam Groningen 2,00:12:45,48,00:00:52,,,,,,,,01:07:42,2e divisie
20,184,Maikel Zuijderhoudt,TTW 2 - Weesp,00:11:51,25,00:01:10,00:35:01,18,00:48:01,15,00:00:55,00:19:02,19,01:07:57,2e divisie
21,183,Jorrit Vulker,TTW 2 - Weesp,00:12:00,29,00:01:02,00:35:29,25,00:48:30,22,00:01:21,00:18:22,9,01:08:13,2e divisie
22,102,Jochem Slijkhuis,Triteam Groningen 2,00:11:22,9,00:00:59,00:35:43,32,00:48:03,17,00:01:00,00:19:16,26,01:08:18,2e divisie
23,180,Eduardo Centeno Nieves,ASU '11 - Amsterdam,00:10:44,7,00:01:01,00:37:02,65,00:48:46,24,00:00:53,00:18:53,17,01:08:30,2e divisie
24,107,Stefan Staartjes,TVA 2 - Almere,00:11:55,27,00:00:57,00:35:36,29,00:48:27,21,00:00:49,00:19:24,29,01:08:39,2e divisie
25,173,albert Kremer,IZGS - Haarlem,00:13:30,63,00:00:56,00:33:59,6,00:48:24,20,00:00:59,00:19:26,31,01:08:48,2e divisie
26,128,Pieter Crombach,Rogelli / TriMates 2 - Utrecht,00:11:35,12,00:00:58,00:35:32,26,00:48:04,18,00:00:51,00:20:10,47,01:09:04,2e divisie
27,144,Sven Duits,AV Triathlon - Amersfoort,00:12:23,35,00:01:06,00:36:02,37,00:49:30,32,00:00:51,00:19:01,18,01:09:20,2e divisie
28,182,Robert Parinussa,TTW 2 - Weesp,00:14:20,80,00:01:01,00:34:26,10,00:49:46,35,00:00:51,00:19:05,23,01:09:41,2e divisie
29,134,Abel Hanse,DSTV Aloha - Enschede,00:12:43,46,00:00:57,00:35:51,34,00:49:31,33,00:00:49,00:19:29,33,01:09:48,2e divisie
30,142,Bert Wallet,AV Triathlon - Amersfoort,00:13:25,61,00:01:02,00:35:51,33,00:50:17,42,00:01:04,00:18:30,13,01:09:50,2e divisie
31,187,Jelte Jansen,Rosiir / Triathlon Team Holten,00:11:57,28,00:00:54,00:36:16,48,00:49:05,29,00:00:56,00:19:52,41,01:09:52,2e divisie
32,109,Fons van Workum,Hellas 3 - Utrecht,00:14:28,83,00:00:59,00:34:28,11,00:49:54,37,00:00:57,00:19:03,22,01:09:53,2e divisie
33,141,Eric Pouw,AV Triathlon - Amersfoort,00:12:57,51,00:01:10,00:34:58,17,00:49:04,28,00:01:00,00:19:56,43,01:09:59,2e divisie
34,131,Ivar Brinkman,Triteam Chalet Beyond - Amersfoort,00:11:41,14,00:01:07,00:35:15,21,00:48:02,16,00:00:55,00:21:10,65,01:10:05,2e divisie
35,139,Corné Lof,Team Fysio-Luxor / TV Zeewolde,00:13:11,56,00:01:04,,,,,,,,01:10:08,2e divisie
36,113,Hans Huisman,De Dolfijn 3 - Amsterdam,00:12:27,37,00:00:57,00:36:34,57,00:49:57,38,00:00:56,00:19:17,27,01:10:09,2e divisie
37,171,Arjan Felix,Balk Rijwielen / TV Haarlemmermeer,00:11:49,22,00:01:09,00:35:04,19,00:48:01,14,00:01:04,00:21:07,64,01:10:11,2e divisie
38,121,Michael Rippens,Trivana - Weesp,00:13:40,68,00:00:52,00:36:39,58,00:51:10,67,00:00:47,00:18:16,8,01:10:12,2e divisie
39,192,TjalfPieter Hek,Kijani 2 - Beesd,00:11:48,21,00:01:00,00:36:33,55,00:49:20,30,00:01:00,00:20:10,48,01:10:29,2e divisie
40,177,Erik Landman,ASU '11 - Amsterdam,00:11:50,24,00:00:57,00:35:09,20,00:47:55,13,00:01:01,00:21:46,72,01:10:41,2e divisie
41,124,Dennis Roeloffzen,Trivana - Weesp,00:14:00,76,00:01:06,00:36:04,39,00:51:09,66,00:00:54,00:18:40,14,01:10:42,2e divisie
42,166,Max van der Wal,Sanders Puzzelboeken / Aquapoldro 2 - Apeldoorn,00:12:40,43,00:01:03,00:36:34,56,00:50:16,41,00:01:06,00:19:27,32,01:10:48,2e divisie
